# Публичные персоны: упоминание не является персональными данными клиента. Формат: Фамилия|Имя|Отчество (имя/отчество опциональны).
# Список расширяется в конфигурации (allowlists.public_persons). Регистр и падеж при сопоставлении не важны.
Пушкин|Александр|Сергеевич
Лермонтов|Михаил|Юрьевич
Толстой|Лев|Николаевич
Толстой|Алексей|Николаевич
Достоевский|Фёдор|Михайлович
Чехов|Антон|Павлович
Гоголь|Николай|Васильевич
Тургенев|Иван|Сергеевич
Есенин|Сергей|Александрович
Маяковский|Владимир|Владимирович
Блок|Александр|Александрович
Ахматова|Анна|Андреевна
Цветаева|Марина|Ивановна
Пастернак|Борис|Леонидович
Бродский|Иосиф|Александрович
Булгаков|Михаил|Афанасьевич
Солженицын|Александр|Исаевич
Шолохов|Михаил|Александрович
Некрасов|Николай|Алексеевич
Тютчев|Фёдор|Иванович
Фет|Афанасий|Афанасьевич
Грибоедов|Александр|Сергеевич
Крылов|Иван|Андреевич
Гончаров|Иван|Александрович
Островский|Александр|Николаевич
Салтыков-Щедрин|Михаил|Евграфович
Куприн|Александр|Иванович
Бунин|Иван|Алексеевич
Горький|Максим
Пешков|Алексей|Максимович
Набоков|Владимир|Владимирович
Платонов|Андрей|Платонович
Мандельштам|Осип|Эмильевич
Гумилёв|Николай|Степанович
Бальмонт|Константин|Дмитриевич
Заболоцкий|Николай|Алексеевич
Твардовский|Александр|Трифонович
Симонов|Константин|Михайлович
Астафьев|Виктор|Петрович
Распутин|Валентин|Григорьевич
Шукшин|Василий|Макарович
Стругацкий|Аркадий|Натанович
Стругацкий|Борис|Натанович
Пелевин|Виктор|Олегович
Сорокин|Владимир|Георгиевич
Акунин|Борис
Довлатов|Сергей|Донатович
Жуковский|Василий|Андреевич
Державин|Гавриил|Романович
Ломоносов|Михаил|Васильевич
Менделеев|Дмитрий|Иванович
Павлов|Иван|Петрович
Королёв|Сергей|Павлович
Гагарин|Юрий|Алексеевич
Терешкова|Валентина|Владимировна
Леонов|Алексей|Архипович
Циолковский|Константин|Эдуардович
Курчатов|Игорь|Васильевич
Сахаров|Андрей|Дмитриевич
Ландау|Лев|Давидович
Капица|Пётр|Леонидович
Алфёров|Жорес|Иванович
Перельман|Григорий|Яковлевич
Лобачевский|Николай|Иванович
Ковалевская|Софья|Васильевна
Вернадский|Владимир|Иванович
Вавилов|Николай|Иванович
Мечников|Илья|Ильич
Сеченов|Иван|Михайлович
Пирогов|Николай|Иванович
Боткин|Сергей|Петрович
Попов|Александр|Степанович
Яблочков|Павел|Николаевич
Зворыкин|Владимир|Козьмич
Сикорский|Игорь|Иванович
Туполев|Андрей|Николаевич
Калашников|Михаил|Тимофеевич
Ленин|Владимир|Ильич
Ульянов|Владимир|Ильич
Сталин|Иосиф|Виссарионович
Хрущёв|Никита|Сергеевич
Брежнев|Леонид|Ильич
Андропов|Юрий|Владимирович
Горбачёв|Михаил|Сергеевич
Ельцин|Борис|Николаевич
Путин|Владимир|Владимирович
Медведев|Дмитрий|Анатольевич
Мишустин|Михаил|Владимирович
Лавров|Сергей|Викторович
Набиуллина|Эльвира|Сахипзадовна
Собянин|Сергей|Семёнович
Романов|Николай|Александрович
Романов|Пётр|Алексеевич
Романова|Екатерина|Алексеевна
Грозный|Иван
Невский|Александр
Донской|Дмитрий
Столыпин|Пётр|Аркадьевич
Витте|Сергей|Юльевич
Керенский|Александр|Фёдорович
Троцкий|Лев|Давидович
Дзержинский|Феликс|Эдмундович
Суворов|Александр|Васильевич
Кутузов|Михаил|Илларионович
Жуков|Георгий|Константинович
Рокоссовский|Константин|Константинович
Нахимов|Павел|Степанович
Ушаков|Фёдор|Фёдорович
Багратион|Пётр|Иванович
Чайковский|Пётр|Ильич
Рахманинов|Сергей|Васильевич
Мусоргский|Модест|Петрович
Римский-Корсаков|Николай|Андреевич
Прокофьев|Сергей|Сергеевич
Шостакович|Дмитрий|Дмитриевич
Глинка|Михаил|Иванович
Скрябин|Александр|Николаевич
Стравинский|Игорь|Фёдорович
Бородин|Александр|Порфирьевич
Шнитке|Альфред|Гарриевич
Свиридов|Георгий|Васильевич
Репин|Илья|Ефимович
Шишкин|Иван|Иванович
Айвазовский|Иван|Константинович
Васнецов|Виктор|Михайлович
Левитан|Исаак|Ильич
Малевич|Казимир|Северинович
Кандинский|Василий|Васильевич
Серов|Валентин|Александрович
Суриков|Василий|Иванович
Врубель|Михаил|Александрович
Шагал|Марк|Захарович
Брюллов|Карл|Павлович
Крамской|Иван|Николаевич
Рерих|Николай|Константинович
Станиславский|Константин|Сергеевич
Немирович-Данченко|Владимир|Иванович
Мейерхольд|Всеволод|Эмильевич
Эйзенштейн|Сергей|Михайлович
Тарковский|Андрей|Арсеньевич
Рязанов|Эльдар|Александрович
Гайдай|Леонид|Иович
Михалков|Никита|Сергеевич
Бондарчук|Сергей|Фёдорович
Высоцкий|Владимир|Семёнович
Окуджава|Булат|Шалвович
Цой|Виктор|Робертович
Шаляпин|Фёдор|Иванович
Плисецкая|Майя|Михайловна
Нуреев|Рудольф|Хаметович
Уланова|Галина|Сергеевна
Барышников|Михаил|Николаевич
Пугачёва|Алла|Борисовна
Киркоров|Филипп|Бедросович
Шевченко|Тарас|Григорьевич
Никулин|Юрий|Владимирович
Миронов|Андрей|Александрович
Папанов|Анатолий|Дмитриевич
Раневская|Фаина|Георгиевна
Гурченко|Людмила|Марковна
Табаков|Олег|Павлович
Янковский|Олег|Иванович
Ефремов|Олег|Николаевич
Смоктуновский|Иннокентий|Михайлович
Гердт|Зиновий|Ефимович
Хабенский|Константин|Юрьевич
Безруков|Сергей|Витальевич
Овечкин|Александр|Михайлович
Харламов|Валерий|Борисович
Третьяк|Владислав|Александрович
Яшин|Лев|Иванович
Карпов|Анатолий|Евгеньевич
Каспаров|Гарри|Кимович
Шарапова|Мария|Юрьевна
Исинбаева|Елена|Гаджиевна
Плющенко|Евгений|Викторович
Загитова|Алина|Ильназовна
Шекспир|Уильям
Ньютон|Исаак
Эйнштейн|Альберт
Дарвин|Чарльз
Наполеон|Бонапарт
Черчилль|Уинстон
Линкольн|Авраам
Вашингтон|Джордж
Рузвельт|Франклин
Кеннеди|Джон
Моцарт|Вольфганг|Амадей
Бетховен|Людвиг
Бах|Иоганн|Себастьян
Шопен|Фредерик
Вивальди|Антонио
Верди|Джузеппе
Пикассо|Пабло
Микеланджело
Рембрандт
Гоген|Поль
Моне|Клод
Дали|Сальвадор
Гёте|Иоганн
Диккенс|Чарльз
Толкин|Джон
Хемингуэй|Эрнест
Твен|Марк
Джобс|Стив
Гейтс|Билл
Маск|Илон
Цукерберг|Марк
Безос|Джефф
Гомер
Платон
Аристотель
Сократ
Архимед
Пифагор
Евклид
Галилей|Галилео
Коперник|Николай
Кеплер|Иоганн
Тесла|Никола
Эдисон|Томас
Фарадей|Майкл
Максвелл|Джеймс
Бор|Нильс
Кюри|Мария
Фрейд|Зигмунд
Юнг|Карл
Кант|Иммануил
Гегель|Георг
Ницше|Фридрих
Маркс|Карл
Энгельс|Фридрих
Данте|Алигьери
Сервантес|Мигель
Мольер
Гюго|Виктор
Бальзак|Оноре
Флобер|Гюстав
Дюма|Александр
Верн|Жюль
Байрон|Джордж
Уайльд|Оскар
Джойс|Джеймс
Кафка|Франц
Ремарк|Эрих|Мария
Оруэлл|Джордж
Хокинг|Стивен
Тьюринг|Алан
Колумб|Христофор
Магеллан|Фернан
Цезарь|Юлий
Македонский|Александр
Клеопатра
Чингисхан
Гитлер|Адольф
Мандела|Нельсон
Ганди|Махатма
Мао|Цзэдун
Обама|Барак
Трамп|Дональд
Байден|Джо
Меркель|Ангела
Макрон|Эммануэль
Лукашенко|Александр|Григорьевич
Назарбаев|Нурсултан|Абишевич
Токаев|Касым-Жомарт|Кемелевич
Зеленский|Владимир|Александрович
Эрдоган|Реджеп|Тайип
Си|Цзиньпин
